"","SOC","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing"
"1","1111",3.38,3.5,3.88,3,3.75,1.12,1.62,1,2.62,3.62,2.75,2.5,2.38,3,3.12,3.12,2.5,1.75,2.5,3.25,2.75,3.5,1.75,3.5,1,3.12,2.75,3,3.38,3.75,3.75,2.88,3.5,2.5,3.38
"2","1121",3.5,3.88,3.38,3,3.88,1.5,2.38,1.75,2.88,3.38,3,2,1.88,2.75,3,3.25,2.5,2,3.12,3,2.75,3.12,2.88,3.88,1.5,2.25,2.88,3,3.75,3.75,3.25,2.88,3.25,3,3.5
"3","1122",3.25,3.75,3.75,3,3.88,1.62,1.75,1.5,2.88,3.38,2.88,1.75,1.75,2.88,2.25,3.38,2.62,1.75,3,2.5,2.62,2.62,3,4,1.62,1.88,2.88,2.75,3.62,3.38,3,2.12,3.12,2.12,3.5
"4","1131",3.12,3.75,3.75,3,3.75,1,1,1.25,2.5,3.25,2.38,2,2,2.62,3.12,3,2.12,1.12,2.25,3.12,2.62,4.75,3.5,3.38,1,2.75,2.25,3.12,3.12,3.38,3.12,2.75,3.12,2.25,3.25
"5","1132",3,3.12,3.62,3,3.62,1.25,1.88,1.75,2.88,3.75,3,2,2,2.88,2.88,3,2.75,2,2.75,3.5,2.88,4,2.88,3.12,1.12,2.88,2.88,2.88,3.25,3.88,3.88,3,2.88,2.88,3
"6","1133",2.88,3.75,3.25,3,3.62,1,1.12,1.25,2.5,3.12,2.38,1.75,1.88,2,3.12,3,2.5,1.25,1.5,2.75,2.75,2.38,2.12,3.88,1,1.62,2.88,3.12,3.25,2.75,2.5,1.62,3,1.25,3
"7","1134",3.5,3.5,3.62,3,3.75,1,2,1.25,2.75,3.38,2.88,1.75,1.75,2.38,2.75,3,2.75,1.62,2.25,3.62,2.88,4.12,2.75,3.62,1,2,2.88,2.88,3.25,3.12,3,2.5,3,2.12,3.12
"8","1141",3.5,3.5,3.62,3.12,3.88,1,1.88,1.62,3,3.5,3,2,2,2.75,3.12,3.38,2.12,1.88,3.12,3.12,2.62,3.38,3,3.5,1.25,2,2.75,2.75,3.38,3.38,3.38,2.38,3,2.88,3.38
"9","1142",3.12,3.75,3.75,3,3.88,3,2.88,2.38,2.88,3.88,2.75,2,2.75,3,3,3.75,2.5,3,3.38,3.12,2.75,3.62,3.25,3.88,3,2.25,3,3,3.38,3.88,3.75,2.75,3.12,3.75,3.12
"10","1143",3.25,3.88,3.88,3.5,4,2.25,2.5,1.75,3,3.75,2.88,2.38,2.38,2.75,3.25,3.25,3,2.5,3,2.75,3.12,3.5,3.12,3.88,2,2.12,2.88,3.12,3.75,3.62,3.62,3.12,3.25,2.88,3.62
"11","1151",3.12,4,3.75,2.88,3.75,2.38,2,2.12,3,3.38,2.88,1.75,1.88,2.62,2.25,3,2.62,2.62,2.88,2.62,2.62,2.12,2.75,4,2.38,1.75,3,2.88,4,3.12,2.88,2,3,2.88,3.62
"12","1152",3.25,3.5,3.25,2.75,3.75,2.62,2.5,2.75,2.62,3.38,2.62,1.5,2,2.25,2.12,3.25,2.25,2,3,1.88,2.25,2.25,2.88,3.38,2.88,1.88,2.5,2.88,3.25,3.12,3,2.12,3,3.12,3
"13","2011",3.38,4,4,3,4.25,1,1,1,3,4.25,3,2.62,2.12,2.75,4.25,3.12,3,1,1.88,3.25,3,2.5,2,4.12,1,2.12,2.88,2.88,3.88,3.88,4,1.75,3.12,1,3.38
"14","2021",3.75,3.38,4,2.88,4,1,1,1,2.88,3.25,3.25,1.62,1.62,2.5,5,2.88,2.12,1,1.5,2.5,2.62,2.5,1.38,4,1,3.25,2.12,2.75,3.25,3.25,3.12,1.62,2.75,1,3.38
"15","2031",3.88,4,4.12,3,4.12,1,1.12,1,3,4,3,1.75,1.75,2.38,4.5,2.88,2.25,1,1.5,3.62,2.75,2.5,1.88,4,1,3.12,2.75,2.88,3.88,3.88,4,1.88,3,1.38,4
"16","2041",3.75,3.88,3.62,2.88,4,1,1,1,2.88,3.5,3,1.75,1.75,2.62,4.88,3,2.12,1.25,1.75,2.88,2.75,3.38,1.75,4,1,3.5,2.5,2.75,3.5,3.25,3,1.62,2.88,1,3.38
