Skills,
C++ ,
C,
C# ,
Apache Cassandra,
Django,
Apache Hadoop,
Apache Hive,
Hypertext markup language HTML,
Oracle Java,
Sun Microsystems Java 2 Platform Enterprise Edition J2EE,
JavaScript,
JavaScript Object Notation JSON,
Oracle JavaServer Pages JSP,
MongoDB,
The MathWorks MATLAB,
Apache Pig,
Python                                                               ,
R,
Ruby,
Ruby on Rails,
SAS,
SAS JMP,
SAS Enterprise Miner,
SAS/CONNECT,
MySQL,
Microsoft SQL Server,
Structured query language SQL,
NoSQL,
PostgreSQL,
Redgate SQL Server,
Micosoft SQL Server Analysis Services SSAS,
Oracle PL/SQL,
Oracle SQL Loader,
Oracle SQL Plus,
Microsoft SQL Server Integration Services SSIS,
IBM SPSS Statistics,
STATISTICA,
Statistical software,
Computational statistics software,
NeuroSolutions for MatLab,
Statistical Solutions BMDP,
SuperANOVA,
UNISTAT Statistical Package,
Tableau,
NCR Teradata Warehouse Miner,
Teradata Enterprise Data Warehouse,
